country;trip.no;haul.no;vessel.length;set.date;haul.date;set.time.start;set.time.end;soak;haul.time.start;haul.time.end;haul.lat.start;haul.lon.start;haul.lat.end;haul.lon.end;perc.haul.obs;view.lines;LL.config;target;bait.type;bait.cond;num.hooks.shot;num.hooks.lost;IMR.qual;LL.length;mitig.set;mitig.haul;depth;sea.state;wind;cloud;LL.material;LL.diam;snood.length;hook.size;hook.type;dist.snood.hook;float.type;float.interv;tot.catch.weight;tot.catch.num;LL.set.type;BSL.length;comments.set;attach.pos.set;LL.haul.type;comments.haul;attach.pos.haul;fulmar;gannet;skua;gbb.gull;kittiwake;g.gull;h.gull;lbb.gull;unid.gull;m.shearwater;e.shag;smthg.else;division;bycatch_tot;bycatch_binary;daysAtSeaOb;effort_metric;length.cat;set_date_parsed;haul_date_parsed;date_parsed;month;year;quarter
FO;FO01;10;25;3.5.2021;;19:00;20:30;;;;61.896417;-7.710167;;;17;Y;added later;added later;Squid;frozen;7800;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;0.5;FiD;>24m;2021-05-03T00:00:00Z;;2021-05-03T00:00:00Z;5;2021;Q2
FO;FO01;12;25;4.5.2021;;08:00;11:00;;;;61.540833;-7.417083;;;57;Y;added later;added later;Herring and squid;frozen;18200;;;added later;added later;added later;;Vindur;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;0.5;FiD;>24m;2021-05-04T00:00:00Z;;2021-05-04T00:00:00Z;5;2021;Q2
FO;FO01;13;25;4.5.2021;;12:00;15:30;;;;61.17775;-6.921717;;;41;Y;added later;added later;Herring and squid;frozen;22100;;;added later;added later;added later;;Vindur;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;0.5;FiD;>24m;2021-05-04T00:00:00Z;;2021-05-04T00:00:00Z;5;2021;Q2
FO;FO01;15;25;5.5.2021;;;;;09:00;19:40;61.428767;-7.105383;;;67;Y;added later;added later;Herring and squid;frozen;27300;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;1;FiD;>24m;2021-05-05T00:00:00Z;;2021-05-05T00:00:00Z;5;2021;Q2
FO;FO01;1;25;30.4.2021;;22:30:00;;;;;61.540183;-7.232;;;34;Y;added later;added later;Squid;frozen;15600;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;1;FiD;>24m;2021-04-30T00:00:00Z;;2021-04-30T00:00:00Z;4;2021;Q2
FO;FO01;21;25;6.5.2021;;;;;09:00;19:00;61.414017;-7.230533;;;73;Y;added later;added later;Herring and squid;frozen;33800;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;1;1;0;0;0;0;0;0;;;;;27.5.b;2;1;1;FiD;>24m;2021-05-06T00:00:00Z;;2021-05-06T00:00:00Z;5;2021;Q2
FO;FO01;22;25;7.5.2021;;;;;08:30;19:10;61.559183;-7.30015;;;65;Y;added later;added later;Herring and squid;frozen;33800;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;1;0;0;0;0;0;;;;;27.5.b;1;1;1;FiD;>24m;2021-05-07T00:00:00Z;;2021-05-07T00:00:00Z;5;2021;Q2
FO;FO01;23;25;8.5.2021;;;;;09:00;21:00;61.628783;-7.4376;;;73;Y;added later;added later;Herring and squid;frozen;33800;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;1;0;0;0;0;0;0;0;;;;;27.5.b;1;1;1;FiD;>24m;2021-05-08T00:00:00Z;;2021-05-08T00:00:00Z;5;2021;Q2
FO;FO01;4;25;1.5.2021;;12:30;15:00;;;;61.5474;-7.23245;;;38;Y;added later;added later;Squid;frozen;15600;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;1;FiD;>24m;2021-05-01T00:00:00Z;;2021-05-01T00:00:00Z;5;2021;Q2
FO;FO01;6;25;2.5.2021;;04:00;06:00;;;;61.842667;-8.161967;;;47;Y;added later;added later;Squid;frozen;27300;;;added later;added later;added later;;Good;;;;;added later;added later;added later;added later;;;;;added later;added later;added later;added later;added later;added later;added later;0;0;0;0;0;0;0;0;;;;;27.5.b;0;0;1;FiD;>24m;2021-05-02T00:00:00Z;;2021-05-02T00:00:00Z;5;2021;Q2
