division,length.cat,meanDaS
21.0.A,12-24m,
21.0.A,<12m,2
21.0.B,12-24m,
21.0.B,<12m,2
21.1.A,12-24m,4727
21.1.A,<12m,51844
21.1.B,12-24m,20
21.1.B,<12m,549
21.1.C,12-24m,580
21.1.C,<12m,2858
21.1.D,12-24m,175
21.1.D,<12m,799
21.1.D,>24m,4
21.1.E,12-24m,233
21.1.E,<12m,1290
21.1.E,>24m,22
21.1.F,12-24m,22
21.1.F,<12m,1719
21.1.F,>24m,12
21.2.H,<12m,
21.2.J,<12m,
21.3.M,>24m,37
21.6.G,12-24m,
27.1,12-24m,498
27.1,>24m,1356
27.10.a,12-24m,1062
27.10.a,<12m,3465
27.10.a,>24m,391
27.10.b,<12m,3
27.14.a,12-24m,
27.14.a,<12m,2
27.14.a,>24m,25
27.14.b,<12m,
27.14.b,>24m,663
27.2.a,12-24m,624
27.2.a,<12m,4
27.2.a,>24m,2566
27.2.b,12-24m,
27.2.b,>24m,909
27.3.a.20,12-24m,18
27.3.a.20,<12m,70
27.3.a.21,<12m,8
27.3.b.23,<12m,
27.3.c.22,<12m,
27.3.d.24,12-24m,2
27.3.d.24,<12m,77
27.3.d.25,12-24m,
27.3.d.25,<12m,34
27.3.d.26,12-24m,2
27.3.d.26,<12m,18
27.3.d.28,<12m,11
27.4.a,12-24m,14
27.4.a,<12m,977
27.4.a,>24m,2919
27.4.b,12-24m,28
27.4.b,<12m,91
27.4.b,>24m,6
27.4.c,<12m,369
27.5.a,12-24m,4785
27.5.a,<12m,739
27.5.a,>24m,1462
27.5.b,>24m,379
27.6.a,>24m,3005
27.6.b,<12m,
27.6.b,>24m,570
27.7.a,<12m,299
27.7.a,>24m,8
27.7.b,<12m,
27.7.b,>24m,76
27.7.d,12-24m,59
27.7.d,<12m,1776
27.7.d,>24m,3
27.7.e,12-24m,13
27.7.e,<12m,2376
27.7.e,>24m,45
27.7.f,<12m,537
27.7.f,>24m,2
27.7.g,12-24m,24
27.7.g,<12m,56
27.7.g,>24m,174
27.7.h,12-24m,30
27.7.h,<12m,10
27.7.h,>24m,1242
27.7.j,12-24m,66
27.7.j,<12m,42
27.7.j,>24m,6471
27.7.k,>24m,202
27.8.a,12-24m,616
27.8.a,<12m,10760
27.8.a,>24m,2975
27.8.b,12-24m,693
27.8.b,<12m,4694
27.8.b,>24m,1004
27.8.c,12-24m,7311
27.8.c,<12m,7492
27.8.c,>24m,265
27.8.d,12-24m,274
27.8.d,<12m,4
27.8.d,>24m,919
27.9.a,12-24m,3768
27.9.a,<12m,13099
27.9.a,>24m,198
27.9.b,12-24m,4
